"SKU";"Name";"Category";"Схема";"Brand";"Seller";"Balance";"Balance FBS";"Comments";"Final price";"Max price";"Min price";"Average price";"Median price";"Цена с Ozon картой";"Sales";"Revenue";"Revenue potential";"Revenue average";"Lost profit";"Lost profit percent";"URL";"Thumb";"Days in stock";"Days with sales";"Average if in stock";"Rating";"FBS";"Base price";"Category Position";"Categories Last Count";"Sales Per Day Average";"Turnover";"Turnover days"
1272479605;"Acer NX.KH6CD.003 Ноутбук, RAM 16 ГБ, серый";"";"FBS";"Acer";"Line_shop";0;0;0;76380;76380;66128;"68458,2632";76380;76380;152;10405656;"763775150,4";"28353,2861";"753369494,4";"98,6376";"https://www.ozon.ru/context/detail/id/1272479605/";"https://cdn1.ozone.ru/s3/multimedia-o/6820793736.jpg";5;3;"10";"0";1;76380;0;1;"0,4142";"0";0
1272467203;"Acer NX.EH6CD.00B Ноутбук, RAM 16 ГБ, серебристый";"";"FBS";"Acer";"Line_shop";0;0;0;46880;52090;41552;"47240,245";46880;46880;151;7133277;"373987522,7143";"19436,7221";"366854245,7143";"98,0926";"https://www.ozon.ru/context/detail/id/1272467203/";"https://cdn1.ozone.ru/s3/multimedia-v/6822326263.jpg";7;6;"21,5714";"0";1;46880;0;1;"0,4114";"0";0
920196008;"Блок питания для ноутбука Acer 19V 3.42A (5.5x1.7) 65W";"Электроника/Ноутбуки, планшеты и электронные книги/Зарядные устройства";"FBS";"AiTech";"AiTech";0;143;19;928;970;638;"825,1867";828;892;150;123778;"4542652,6";"337,2698";"4418874,6";"97,2752";"https://www.ozon.ru/context/detail/id/920196008/";"https://cdn1.ozone.ru/s3/multimedia-t/6416857961.jpg";10;9;"15";"4,74";1;970;723;1;"0,4087";"0";0
511231969;"Acer Игровая мышь проводная OMW124, черный";"Электроника/Компьютеры/Периферия/Мыши";"FBO";"Acer";"Позитроника";143;0;42;1205;1690;694;"1045,0133";1203.5;1169;150;156752;"169699,0678";"427,1172";"12947,0678";"7,6294";"https://www.ozon.ru/context/detail/id/511231969/";"https://cdn1.ozone.ru/s3/multimedia-4/6265212904.jpg";339;80;"0,4307";"4,86";0;2990;388;2;"0,4087";"1,67";220
760513732;"Коврик для мыши Acer OMP211 Средний черный 350x280x3мм";"Электроника/Компьютеры/Периферия";"FBO";"Acer";"Позитроника";214;0;34;544;590;361;"507,6803";548;528;147;74629;"148852,4076";"203,3488";"74223,4076";"49,8638";"https://www.ozon.ru/context/detail/id/760513732/";"https://cdn1.ozone.ru/s3/multimedia-6/6447859194.jpg";184;83;"0,7935";"5";0;790;1557;2;"0,4005";"1,37";267
199410137;"Мышь Acer OMR050 черный оптическая (1600dpi) беспроводная BT/Radio USB (6but)";"Электроника/Компьютеры/Периферия";"FBO";"Acer";"Позитроника";173;0;43;730;990;530;"714,7034";718;708;145;103632;"109290,069";"282,376";"5658,069";"5,1771";"https://www.ozon.ru/context/detail/id/199410137/";"https://cdn1.ozone.ru/s3/multimedia-h/6024192449.jpg";348;93;"0,4167";"4,4";0;849;4436;2;"0,3951";"1,17";313
696698010;"Acer 23.6"" Монитор K242HQLbid, черный";"";"FBO";"Acer";"ОМК";0;0;2;13290;13632;8910;"10756,993";13290;13290;143;1538250;"4552723,7903";"4191,4169";"3014473,7903";"66,2125";"https://www.ozon.ru/context/detail/id/696698010/";"https://cdn1.ozone.ru/s3/multimedia-t/6551248121.jpg";124;11;"0,4597";"5";0;13290;0;1;"0,3896";"95,33";4
1259798751;"Клавиатура Acer OKW010 мембранная, черный (ZL.KBDEE.002)";"";"FBS";"Acer";"Селлер";0;0;0;1940;2486;1544;"2031";1777;1940;140;284340;"104352780";"774,7684";"104068440";"99,7275";"https://www.ozon.ru/context/detail/id/1259798751/";"https://cdn1.ozone.ru/s3/multimedia-9/6654560661.jpg";1;2;"0";"0";1;2985;0;1;"0,3815";"0";0
1292891735;"Acer Nitro 5 AN515-58-54FA Ноутбук 15.6"", Intel Core i5-12450H (2.0 ГГц), RAM 16 ГБ, SSD, NVIDIA GeForce RTX 2050 (4 Гб), Без системы, черный, Русская раскладка";"";"FBO";"Acer";"Best price";0;0;32;115990;115990;67820;"69732,5899";71245;106770;139;9692830;"56464581,1111";"26410,9809";"46771751,1111";"82,8338";"https://www.ozon.ru/context/detail/id/1292891735/";"https://cdn1.ozone.ru/s3/multimedia-n/6833234759.jpg";63;35;"2,127";"4,91";0;120990;0;1;"0,3787";"0";0
878184315;"Acer Swift X SFX-16-51G Ноутбук 16.1"", Intel Core i5-11320H (2.5 ГГц), RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3050 Ti для ноутбуков (4 Гб), Windows Home, (NX.AYLER.003), серый, Русская раскладка";"";"FBO";"Acer";"Best price";0;0;51;129990;129990;69990;"80094,8986";117515;129990;138;11053096;"25040038,4691";"30117,4278";"13986942,4691";"55,8583";"https://www.ozon.ru/context/detail/id/878184315/";"https://cdn1.ozone.ru/s3/multimedia-y/6566543662.jpg";162;45;"0,7654";"4,96";0;134990;0;1;"0,376";"0";0
