"SKU";"Name";"Category";"Схема";"Brand";"Seller";"Balance";"Balance FBS";"Comments";"Final price";"Max price";"Min price";"Average price";"Median price";"Цена с Ozon картой";"Sales";"Revenue";"Revenue potential";"Revenue average";"Lost profit";"Lost profit percent";"URL";"Thumb";"Days in stock";"Days with sales";"Average if in stock";"Rating";"FBS";"Base price";"Category Position";"Categories Last Count";"Sales Per Day Average";"Turnover";"Turnover days"
1002731400;"Кабель usb type c / кабель для быстрой зарядки телефона type-c / Провод type c для быстрой зарядки телефона / 1 метр / черный";"Электроника/Телефоны и смарт-часы/Аксессуары для смартфонов и телефонов/Кабели";"FBO";"hoco";"SilaToka";20284;0;23725;165;245;158;"170,0028";170;162;79781;13562997;"21455258,1853";"36956,3951";"7892261,1853";"36,7847";"https://www.ozon.ru/context/detail/id/1002731400/";"https://cdn1.ozone.ru/s3/multimedia-d/6755577025.jpg";232;231;"343,8836";"4,9";0;340;5;1;"217,3869";"7,87";47
959985167;"Наушники беспроводные hoco / TWS Bluetooth с микрофоном, гарнитура";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"TechnoZone";4573;0;10390;1001;1440;892;"1033,2621";1075.5;945;37285;38525178;"48420343,5822";"104973,2371";"9895165,5822";"20,436";"https://www.ozon.ru/context/detail/id/959985167/";"https://cdn1.ozone.ru/s3/multimedia-3/6638163843.jpg";292;286;"127,6884";"4,74";0;14990;40;1;"101,594";"16,31";23
1012231594;"Наушники беспроводные для телефона спортивные с микрофоном для андроид, айфон/Блютуз гарнитура";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"TechnoZone";3802;0;9222;1363;2250;1216;"1384,6782";1471;1285;30268;41911439;"60083977,0039";"114200,1063";"18172538,0039";"30,2452";"https://www.ozon.ru/context/detail/id/1012231594/";"https://cdn1.ozone.ru/s3/multimedia-u/6676564458.jpg";256;247;"118,2344";"4,81";0;11900;80;3;"82,4741";"15,92";23
1029771958;"Беспроводные наушники Pro Premium с микрофоном Bluetooth/ TWS блютуз гарнитура cенсорное управление для iPhone и Android.";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"iS_COM";5169;0;10409;544;720;439;"480,444";483;528;24285;11667582;"18536807,7662";"31791,7766";"6869225,7662";"37,0572";"https://www.ozon.ru/context/detail/id/1029771958/";"https://cdn1.ozone.ru/s3/multimedia-b/6740386859.jpg";231;223;"105,0649";"4,44";0;3599;626;2;"66,1717";"9,4";39
693472251;"Беспроводные наушники hoco EW42 WLPRO2";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"Sound Place";1702;0;12102;1424;2350;928;"1390,9093";1425;1385;23638;32878313;"34673393,3075";"89586,6839";"1795080,3075";"5,1771";"https://www.ozon.ru/context/detail/id/693472251/";"https://cdn1.ozone.ru/s3/multimedia-s/6902422012.jpg";348;344;"67,9253";"4,79";0;13990;258;3;"64,4087";"16,52";22
976770715;"кабель usb type c / провод type c / кабель type-c / провод для зарядки телефона / кабель для зарядки телефона / кабель usb type c type c";"Электроника/Телефоны и смарт-часы/Аксессуары для смартфонов и телефонов/Кабели";"FBO";"hoco";"SilaToka";7772;0;23725;199;510;155;"178,4261";188;195;20752;3702699;"4818760,7553";"10089,0981";"1116061,7553";"23,1608";"https://www.ozon.ru/context/detail/id/976770715/";"https://cdn1.ozone.ru/s3/multimedia-n/6838042163.jpg";282;274;"73,539";"4,9";0;580;13;1;"56,545";"5,34";69
840888374;"Быстрая зарядка для Samsung 20W Quick Charge 3.0 с кабелем type c / Турбо зарядка для андроид / блок питания для Xiaomi, Samsung, Honor, Huawei, TYPE-C";"Электроника/Аксессуары для электроники/Сетевые зарядные устройства";"FBO";"STAR SOCKET";"STAR SOCKET";2700;0;4515;567;790;396;"518,7227";517;545;18752;9727088;"10141594,5909";"26504,327";"414506,5909";"4,0872";"https://www.ozon.ru/context/detail/id/840888374/";"https://cdn1.ozone.ru/s3/multimedia-a/6536082526.jpg";352;348;"53,2699";"4,75";0;5900;4;2;"51,0954";"11,42";32
1314306091;"Наушники беспроводные HOCO EQ2 TWS (Черные)";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"E-Ro";2902;0;4573;1285;3990;1050;"1212,6406";1250;1149;18654;22620598;"92241771,8444";"61636,5068";"69621173,8444";"75,4768";"https://www.ozon.ru/context/detail/id/1314306091/";"https://cdn1.ozone.ru/s3/multimedia-x/6858671433.jpg";90;91;"206,0222";"4,83";0;4590;2;3;"50,8283";"12,86";29
788670862;"Наушники беспроводные F9-5, черные";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"MILDSTORE";5641;0;7143;442;2961;423;"507,0756";535;435;18486;9373799;"9718034,5565";"25541,6866";"344235,5565";"3,5422";"https://www.ozon.ru/context/detail/id/788670862/";"https://cdn1.ozone.ru/s3/multimedia-u/6842466678.jpg";354;341;"52,2203";"4,57";0;4330;54;9;"50,3706";"5,27";70
821403067;"Беспроводные наушники hoco EW47 WLPRO2";"Электроника/Наушники и аудиотехника/Наушники";"FBO";"hoco";"WHITELYNX";1149;0;5322;1424;1649;911;"1340,0095";1364.5;1385;15479;20742007;"22389166,3794";"56517,7302";"1647159,3794";"7,3569";"https://www.ozon.ru/context/detail/id/821403067/";"https://cdn1.ozone.ru/s3/multimedia-8/6902414864.jpg";340;333;"45,5235";"4,79";0;14990;476;3;"42,1771";"10,93";34
