"SKU";"Name";"Category";"Схема";"Brand";"Seller";"Balance";"Balance FBS";"Comments";"Final price";"Max price";"Min price";"Average price";"Median price";"Цена с Ozon картой";"Sales";"Revenue";"Revenue potential";"Revenue average";"Lost profit";"Lost profit percent";"URL";"Thumb";"Days in stock";"Days with sales";"Average if in stock";"Rating";"FBS";"Base price";"Category Position";"Categories Last Count";"Sales Per Day Average";"Turnover";"Turnover days"
881416232;"Honor Смартфон X8a Ростест (EAC) 6/128 ГБ, синий";"Электроника/Телефоны и смарт-часы/Смартфоны";"FBO";"Honor";"X-shop";463;0;4232;14548;19990;12490;"15265,7997";16185;14432;8748;133545216;"142889487,6735";"363883,4223";"9344271,6735";"6,5395";"https://www.ozon.ru/context/detail/id/881416232/";"https://cdn1.ozone.ru/s3/multimedia-m/6590854138.jpg";343;315;"25,4286";"4,89";0;24990;3112;1;"23,8365";"37,79";10
888085936;"Honor Планшет Pad 8, 11.97"", 128GB, голубой";"Электроника/Ноутбуки, планшеты и электронные книги/Планшеты";"FBO";"Honor";"X-shop";373;0;1772;20701;29990;16476;"19103,2904";20294;20536;8364;159779921;"176093786,8078";"435367,6322";"16313865,8078";"9,2643";"https://www.ozon.ru/context/detail/id/888085936/";"https://cdn1.ozone.ru/s3/multimedia-x/6534733917.jpg";333;321;"25,018";"4,93";0;29990;79;1;"22,7902";"44,85";8
879487025;"Honor Смартфон X7a Ростест (EAC) 4/128 ГБ, черный";"";"FBO";"Honor";"X-shop";0;0;3536;12990;15990;9197;"10102,3018";11438.5;12990;7998;80798210;"133571815,6306";"220158,6104";"52773605,6306";"39,5095";"https://www.ozon.ru/context/detail/id/879487025/";"https://cdn1.ozone.ru/s3/multimedia-0/6590860416.jpg";222;184;"35,9505";"4,9";0;15990;0;1;"21,7929";"0";0
881418200;"Honor Смартфон X7a Ростест (EAC) 4/128 ГБ, синий";"";"FBO";"Honor";"X-shop";0;0;3536;12617;15990;9197;"10096,603";11442;12517;7219;72887377;"119953665,287";"198603,2071";"47066288,287";"39,2371";"https://www.ozon.ru/context/detail/id/881418200/";"https://cdn1.ozone.ru/s3/multimedia-e/6590860358.jpg";223;178;"32,148";"4,9";0;15990;0;1;"19,6703";"0";0
881417384;"Honor Смартфон X7a Ростест (EAC) 4/128 ГБ, серебристый";"";"FBO";"Honor";"X-shop";0;0;3536;12990;15990;8204;"10061,9643";11449.5;12990;6220;62585418;"100300648,0611";"170532,4741";"37715230,0611";"37,6022";"https://www.ozon.ru/context/detail/id/881417384/";"https://cdn1.ozone.ru/s3/multimedia-7/6590860387.jpg";229;180;"27,0175";"4,9";0;15990;0;1;"16,9482";"0";0
930933495;"Honor Планшет Pad X8, 10.1"", 64GB, синий";"";"FBO";"Honor";"X-shop";159;0;2806;13083;19990;11334;"13298,8198";14240;12975;6105;81189295;"103101976,6955";"221224,2371";"21912681,6955";"21,2534";"https://www.ozon.ru/context/detail/id/930933495/";"https://cdn1.ozone.ru/s3/multimedia-5/6618808517.jpg";289;259;"20,8616";"4,92";0;19990;0;1;"16,6349";"76,79";5
881417025;"Honor Смартфон X8a Ростест (EAC) 6/128 ГБ, черный";"Электроника/Телефоны и смарт-часы/Смартфоны";"FBO";"Honor";"X-shop";147;0;4232;14560;18490;12490;"15316,6306";16169.5;14444;5940;90980786;"105999836,3873";"247904,049";"15019050,3873";"14,1689";"https://www.ozon.ru/context/detail/id/881417025/";"https://cdn1.ozone.ru/s3/multimedia-t/6590854145.jpg";315;212;"18,7556";"4,89";0;24990;93;1;"16,1853";"80,82";5
1087163058;"Honor Смартфон X9a Ростест (EAC) 8/256 ГБ, зеленый";"";"FBO";"Honor";"X-shop";0;0;5629;23383;34990;19642;"22677,7375";25145;23187;5783;131145356;"270395200,2921";"357344,2943";"139249844,2921";"51,4986";"https://www.ozon.ru/context/detail/id/1087163058/";"https://cdn1.ozone.ru/s3/multimedia-t/6590868257.jpg";178;162;"31,5618";"4,93";0;34990;0;1;"15,7575";"0";0
1256259113;"Honor Планшет Pad X8, 10.1"", 32GB, зеленый";"Электроника/Ноутбуки, планшеты и электронные книги/Планшеты";"FBO";"Honor";"X-shop";367;0;2812;9404;12990;7590;"8889,1561";9404;9326;5586;49654826;"173555439,4476";"135299,2534";"123900613,4476";"71,3896";"https://www.ozon.ru/context/detail/id/1256259113/";"https://cdn1.ozone.ru/s3/multimedia-u/6812887530.jpg";105;98;"53,0667";"4,92";0;12990;20;1;"15,2207";"30,44";12
1087163827;"Honor Смартфон X7a Plus Ростест (EAC) 6/128 ГБ, черный";"";"FBO";"Honor";"X-shop";0;0;2540;10674;19990;10165;"11322,3883";13414;10590;5547;62805288;"118202772,8";"171131,5749";"55397484,8";"46,8665";"https://www.ozon.ru/context/detail/id/1087163827/";"https://cdn1.ozone.ru/s3/multimedia-0/6590860416.jpg";195;155;"26,5641";"4,87";0;19990;0;1;"15,1144";"0";0
