"SKU";"Name";"Category";"Схема";"Brand";"Seller";"Balance";"Balance FBS";"Comments";"Final price";"Max price";"Min price";"Average price";"Median price";"Цена с Ozon картой";"Sales";"Revenue";"Revenue potential";"Revenue average";"Lost profit";"Lost profit percent";"URL";"Thumb";"Days in stock";"Days with sales";"Average if in stock";"Rating";"FBS";"Base price";"Category Position";"Categories Last Count";"Sales Per Day Average";"Turnover";"Turnover days"
952343809;"HUAWEI Наушники беспроводные с микрофоном Huawei FreeBuds 5i, USB Type-C, черный";"";"FBO";"HUAWEI";"Smart Ecom Store";177;0;2182;5257;6966;5036;"5444,7697";5715;5145;4142;22552236;"40178012,6796";"61450,2343";"17625776,6796";"43,8692";"https://www.ozon.ru/context/detail/id/952343809/";"https://cdn1.ozone.ru/s3/multimedia-w/6725372900.jpg";206;187;"19,7039";"4,9";0;7490;0;1;"11,2861";"46,8";8
949986469;"Наушники Huawei FreeBuds 5i, белый";"";"FBO";"HUAWEI";"Smart Ecom Store";114;0;2190;5257;6847;5036;"5488,3876";5715;5145;3808;20899780;"29164331,7871";"56947,6294";"8264551,7871";"28,3379";"https://www.ozon.ru/context/detail/id/949986469/";"https://cdn1.ozone.ru/s3/multimedia-1/6725373337.jpg";263;244;"14,4297";"4,89";0;7490;0;1;"10,376";"66,81";5
952345755;"Наушники Huawei FreeBuds 5i, Синий (модель T0014)";"";"FBO";"HUAWEI";"Smart Ecom Store";112;0;2183;5257;6773;5036;"5507,5363";5738;5145;3041;16748418;"28195731,2202";"45636,0163";"11447313,2202";"40,5995";"https://www.ozon.ru/context/detail/id/952345755/";"https://cdn1.ozone.ru/s3/multimedia-5/6725372045.jpg";218;184;"13,9174";"4,9";0;7490;0;1;"8,2861";"54,3";7
1049641648;"Фитнес-браслет HUAWEI BAND 8 ASK-B19, черный";"Электроника/Телефоны и смарт-часы/Фитнес-браслеты";"FBO";"HUAWEI";"ЭЛКО Рус";63;0;1584;2752;3999;2458;"2787,2014";2954;2679;3038;8467518;"18497494,6786";"23072,2561";"10029976,6786";"54,2234";"https://www.ozon.ru/context/detail/id/1049641648/";"https://cdn1.ozone.ru/s3/multimedia-j/6688204363.jpg";168;113;"17,7917";"4,92";0;3999;9;1;"8,2779";"96,44";4
1049641657;"Фитнес-браслет HUAWEI BAND 8 ASK-B19, розовый";"Электроника/Телефоны и смарт-часы/Фитнес-браслеты";"FBO";"HUAWEI";"ЭЛКО Рус";31;0;1585;2752;3999;2458;"2793,188";2953;2679;2441;6818172;"15446105,7037";"18578,1253";"8627933,7037";"55,8583";"https://www.ozon.ru/context/detail/id/1049641657/";"https://cdn1.ozone.ru/s3/multimedia-f/6688204359.jpg";162;109;"14,8395";"4,92";0;3999;21;1;"6,6512";"157,48";2
1030151978;"Фитнес-браслет HUAWEI Band 8, черный";"";"FBO";"HUAWEI";"Smart Ecom Store";2;0;1539;2815;4099;2743;"3215,1546";3254;2753;2309;7423792;"13760260,9293";"20228,3161";"6336468,9293";"46,049";"https://www.ozon.ru/context/detail/id/1030151978/";"https://cdn1.ozone.ru/s3/multimedia-o/6725313168.jpg";198;170;"11,4141";"4,91";0;4599;0;1;"6,2916";"2309";0
1030111793;"Фитнес-браслет HUAWEI Band 8, розовый";"";"FBO";"HUAWEI";"Smart Ecom Store";8;0;1532;2815;4199;2743;"3184,7668";3254;2753;2204;7019226;"11500249,7411";"19125,9564";"4481023,7411";"38,9646";"https://www.ozon.ru/context/detail/id/1030111793/";"https://cdn1.ozone.ru/s3/multimedia-j/6725314495.jpg";224;172;"9,7634";"4,91";0;4599;0;1;"6,0054";"551";1
818061764;"Смарт-часы HUAWEI WATCH GT 3 Pro, 46 мм, черный";"Электроника/Телефоны и смарт-часы/Смарт-часы";"FBO";"HUAWEI";"Smart Ecom Store";110;0;799;18830;24990;17827;"19378,2151";20368.5;18449;1599;30985766;"43403725,6565";"84429,8801";"12417959,6565";"28,6104";"https://www.ozon.ru/context/detail/id/818061764/";"https://cdn1.ozone.ru/s3/multimedia-4/6726017596.jpg";262;205;"6,0687";"4,92";0;27990;1161;1;"4,3569";"29,07";13
864701274;"Планшет HUAWEI MatePad SE 10.4 4/128 Gb Wi-Fi Graphite Black (53013NAJ)";"Электроника/Ноутбуки, планшеты и электронные книги/Планшеты";"FBO";"HUAWEI";"Buyon";36;0;914;15311;18800;14055;"15009,5477";15367;15025;1499;22499312;"23796102,317";"61306,0272";"1296790,317";"5,4496";"https://www.ozon.ru/context/detail/id/864701274/";"https://cdn1.ozone.ru/s3/multimedia-y/6539727658.jpg";347;241;"4,3084";"4,92";0;20990;27;1;"4,0845";"57,65";6
949941630;"HUAWEI Смартфон HUAWEI P60 Pro 8/256 ГБ, белый";"Электроника/Телефоны и смарт-часы/Смартфоны";"FBO";"HUAWEI";"Smart Ecom Store";35;0;835;64881;129999;60939;"66100,6047";67271;63370;1490;98489901;"166570477,7281";"268364,8529";"68080576,7281";"40,8719";"https://www.ozon.ru/context/detail/id/949941630/";"https://cdn1.ozone.ru/s3/multimedia-1-4/6938285116.jpg";217;172;"6,6406";"4,88";0;89999;5331;1;"4,0599";"85,14";4
864723082;"Планшет HUAWEI MatePad SE 10.4 4/64 Gb Wi-Fi Graphite Black (53013NAH)";"Электроника/Ноутбуки, планшеты и электронные книги/Планшеты";"FBO";"HUAWEI";"Buyon";61;0;914;13500;18990;11969;"12940,3705";13419.5;13241;1409;18232982;"23153994,4429";"49681,1499";"4921012,4429";"21,2534";"https://www.ozon.ru/context/detail/id/864723082/";"https://cdn1.ozone.ru/s3/multimedia-y/6539727658.jpg";289;227;"4,8408";"4,92";1;18990;74;4;"3,8392";"35,22";10
949940936;"HUAWEI Смартфон P60 Pro 8/256 ГБ, черный";"Электроника/Телефоны и смарт-часы/Смартфоны";"FBO";"HUAWEI";"Smart Ecom Store";43;0;835;64881;129999;60945;"65469,9343";66893;63370;1248;81706478;"116225881,4961";"222633,455";"34519403,4961";"29,7003";"https://www.ozon.ru/context/detail/id/949940936/";"https://cdn1.ozone.ru/s3/multimedia-1-o/6938286036.jpg";258;178;"4,8333";"4,88";0;89999;4032;1;"3,4005";"58,05";6
1049641658;"Фитнес-браслет HUAWEI BAND 8 ASK-B19, зеленый";"Электроника/Телефоны и смарт-часы/Фитнес-браслеты";"FBO";"HUAWEI";"ЭЛКО Рус";212;0;1586;2752;3999;2458;"2798,3966";2951;2679;1238;3464415;"7307128,1897";"9439,8229";"3842713,1897";"52,5886";"https://www.ozon.ru/context/detail/id/1049641658/";"https://cdn1.ozone.ru/s3/multimedia-c/6688204356.jpg";174;123;"6,9655";"4,92";0;3999;84;1;"3,3733";"11,68";31
1210967939;"HUAWEI Наушники беспроводные с микрофоном HUAWEI FreeBuds SE 2, USB Type-C, белый";"";"FBO";"HUAWEI";"HUAWEI Store KZ";0;0;493;2289;2999;2170;"2424,1664";2602;2233;1226;2972028;"16279616,0597";"8098,1689";"13307588,0597";"81,7439";"https://www.ozon.ru/context/detail/id/1210967939/";"https://cdn1.ozone.ru/s3/multimedia-g/6903681784.jpg";67;57;"15,5224";"4,85";1;2999;0;1;"3,3406";"0";0
817897729;"Смарт-часы HUAWEI WATCH GT 3 Pro, 46 мм, серый";"Электроника/Телефоны и смарт-часы/Смарт-часы";"FBO";"HUAWEI";"Smart Ecom Store";290;0;799;18830;24990;17148;"19664,4064";20247;18449;1223;24049569;"35446553,506";"65530,1608";"11396984,506";"32,1526";"https://www.ozon.ru/context/detail/id/817897729/";"https://cdn1.ozone.ru/s3/multimedia-d/6726017461.jpg";249;160;"4,7671";"4,92";0;27990;1545;1;"3,3324";"8,43";44
